dataset,classifier,score,nr_classes,nr_instances,log_nr_instances,nr_features,log_nr_features,missing_val,nr_categorical_features,dataset_ratio,labels_mean,labels_std,skew_min,skew_std,skew_mean,skew_q1,skew_q3,skew_max,kurtosis_min,kurtosis_std,kurtosis_mean,kurtosis_q1,kurtosis_q3,kurtosis_max,rho_min,rho_max,rho_mean,rho_std,class_entropy,prob_min,prob_mean,prob_std,prob_max,norm_entropy_min,norm_entropy_mean,norm_entropy_std,norm_entropy_max,mi_min,mi_mean,mi_std,mi_max,equiv_nr_feat,noise_signal_ratio
AP_Breast_Lung,random_forest,0.9745762711864406,2,470,6.152732695,10937,9.299906815,0,1,23.27021277,2.0,0.0,0.002176528,3.3083271080000003,3.459486739,1.452865092,4.130481775,21.66594291,-0.277395839,60.80853656,31.19685932,3.8723288989999998,28.02961271,469.6056772,1.25e-09,0.999232663,0.101016212,0.088024627,0.8387034440000001,0.268085106,0.5,0.23191489399999998,0.7319148940000001,0.002473099,0.196546138,0.07995712099999999,0.33543287899999996,0.000664854,0.026003797000000002,0.027394475,0.30973414,32.25311504,6.558363147000001
AP_Omentum_Ovary,random_forest,0.8695652173913043,2,275,5.616771097999999,10937,9.299906815,0,1,39.77090909,2.0,0.0,0.010034127,2.976636253,3.1223450230000003,1.3253536129999999,3.639750752,16.58070515,-0.5446422360000001,45.3818846,24.14818982,2.980928765,20.73656697,274.94626089999997,7.77e-10,0.999971293,0.099602417,0.084504035,0.855450811,0.28,0.5,0.22,0.72,0.004282597,0.234475748,0.089452243,0.38007051799999997,0.0007888589999999999,0.020276592,0.014068839,0.162114008,42.1890825,10.5638638
AP_Prostate_Ovary,gradient_boosting,1.0,2,267,5.587248657999999,10937,9.299906815,0,1,40.96254682,2.0,0.0,0.003093248,2.839535927,3.0336062260000003,1.343321645,3.524911528,16.33742463,-0.828388307,42.82869025,22.49307162,2.888471304,19.43621433,266.9406654,2.25e-10,0.999969494,0.118118734,0.100783914,0.824363354,0.25842696600000004,0.5,0.241573034,0.7415730340000001,0.004414395,0.235722254,0.087829448,0.395419526,0.001122233,0.085347323,0.083601263,0.535278843,9.658924501,1.7619173590000001
AirlinesCodrnaAdult,random_forest,0.7908082526616096,2,1076790,13.88949495,30,3.401197382,0,11,2.7899999999999997e-05,63.90909091,108.4623559,0.24226204899999998,5.345269183,3.0484182389999996,0.640547611,2.430520197,24.12960144,-1.941312705,136.5803861,48.08973899,0.511653582,33.69400999,618.4766234,0.001513367,0.800728213,0.166721373,0.17546126,0.9895436609999999,0.43987407,0.5,0.06012593,0.56012593,9.959999999999999e-07,0.002902555,0.01233823,0.118445433,3.54e-10,0.0006814260000000001,0.004350795,0.08997652699999999,1452.1652960000001,3.259528195
Amazon,random_forest,0.8533333333333334,50,1500,7.313220387,10001,9.210440367,0,1,6.667333332999999,50.0,0.0,0.011661893999999999,4.64937937,7.26053222,2.849224435,10.6121885,33.83000575,-0.702467407,104.6967773,83.53110092,11.33169402,114.96944180000001,1232.854012,2.4499999999999998e-20,1.0,0.024752182,0.028202712999999997,5.64385619,0.02,0.02,0.0,0.02,0.005015292,0.053305702999999996,0.060773222,0.280662348,0.000343724,0.014071387,0.01163851,0.118209677,401.0874202,2.7882338030000002
CovPokElec,decision_tree,0.9601024507944884,10,1455525,14.19087722,65,4.17438727,0,0,4.47e-05,0.0,0.0,0.291429914,87.21699609,27.36637591,1.880149742,22.46520109,696.5436096,-1.8197570509999998,59654.666189999996,8354.454533,3.870927488,502.68595089999997,485171.6667,1.22e-05,0.87111739,0.078585204,0.13657488,1.590002324,1.37e-06,0.1,0.17425271,0.449698906,2.05e-06,0.03004207,0.038598526,0.127538131,8.92e-06,0.014648926000000001,0.022522367,0.153588697,108.5405425,1.050803687
GCM,adaboost,0.8125,14,190,5.247024072,16064,9.684336022,0,1,84.54736842,14.0,0.0,0.00020753599999999997,2.037484416,2.603941013,1.303543874,3.3147656010000004,13.68282828,-1.668448454,22.96905917,15.37433871,3.327668804,17.017826,188.1089567,1.1e-17,1.0,0.2230419,0.189661718,3.697010342,0.052631579000000005,0.071428571,0.030606214,0.15789473699999998,0.0062635880000000005,0.257732798,0.076665611,0.431464995,0.008121638,0.26655218199999997,0.084366484,0.624837138,13.869743300000001,-0.033086896
KDDCup99,random_forest,0.99974090117809,23,494020,13.11033128,40,3.688879454,0,4,8.1e-05,25.75,24.30406345,0.273852652,160.01935500000002,91.44853051,1.698808391,115.8453656,699.2124432999999,-1.9151390380000002,94258.91397000001,36057.709189999994,0.887878342,14961.479640000001,490583.3526,1.6e-06,0.9993041090000001,0.123065935,0.2299201,1.5576214469999998,4.05e-06,0.043478261,0.126058268,0.568377798,2.18e-06,0.009757119,0.019294197,0.10498105199999999,3.29e-06,0.087325069,0.192601768,0.94112719,17.83704801,-0.8882666929999999
MagicTelescope,gradient_boosting,0.8853838065194533,2,19020,9.853246336,11,2.397895273,0,1,0.000578339,2.0,0.0,0.120121273,0.915072104,1.0802488609999998,0.5358399970000001,1.10391891,3.371627981,-0.5337036039999999,5.350085293,4.273159612,-0.077084689,7.359107633,16.76540668,0.002552837,0.9764118509999999,0.278780596,0.26982838800000003,0.935515245,0.351629863,0.5,0.14837013699999999,0.648370137,0.075815173,0.146535022,0.051661480999999995,0.21256537600000003,0.007989639,0.041668889,0.033695927,0.119451045,22.45116821,2.516652932
aaaData_for_UCI_named,decision_tree,1.0,2,10000,9.210340372000001,14,2.63905733,0,1,0.0014,2.0,0.0,6.14e-07,0.005775115999999999,0.00241446,2.74e-06,4.8e-06,0.018663442,-1.200004417,0.223122173,-1.115477275,-1.200002539,-1.199995596,-0.38946865700000005,0.000490882,0.584554283,0.060109392000000005,0.133446104,0.944330826,0.36200000000000004,0.5,0.138,0.638,0.21649501100000001,0.24530582199999998,0.011071206,0.25,0.000413414,0.06401132400000001,0.14927686099999998,0.578319651,14.75255897,2.8322254239999998
analcatdata_authorship,libsvm_svc,1.0,4,841,6.73459166,71,4.262679877,0,1,0.08442330599999999,4.0,0.0,0.040708921,0.6758959990000001,1.115865224,0.707035159,1.325906397,4.087186737,-0.790261586,3.634263392,2.35912946,0.365953089,2.383871161,21.23171723,2e-05,0.70645842,0.14842389,0.115522347,1.787416049,0.065398335,0.25,0.125047621,0.376932224,0.119491763,0.246079082,0.042161434000000005,0.309274316,0.027051629,0.17224637899999998,0.10631916,0.5176043029999999,10.37708926,0.428645891
